0,0.049,10.01,0.031,10000,0
1,56.2,9.3,0.683,56.2,532
2,115,8.63,0.7,57.5,1009
3,176,7.9,0.72,58.6,1342
4,239,7.17,0.74,59.75,1742
5,300,6.48,0.75,60,1976
6,368,5.77,0.77,61.3,2157
7,430,5.02,0.78,61.4,2193
8,490,4.3,0.8,61.25,2141
9,550,3.6,0.81,61.1,2012
10,610,2.9,0.82,61,1798
11,668,2.24,0.84,60.7,1520
12,717,1.67,0.86,59.7,1217
13,770,1.0,0.87,59.23,783
14,802,0.64,0.88,57.2,522
15,816,0.47,0.89,54.4,390
16,822,0.38,0.91,51.37,318
17,827,0.35,0.9,48.64,295
18,830,0.325,0.9,46.11,275
19,831,0.31,0.91,43.73,263
20,832,0.21,0.91,41.6,247
